rx_time_ms,sequence_number,tx_timestamp_ms,rssi,payload_size,scenario_id,packet_rate
40049,19709,986166,-91,100,run03,20
40097,19710,986216,-88,100,run03,20
40147,19711,986266,-90,100,run03,20
40197,19712,986316,-90,100,run03,20
40247,19713,986366,-90,100,run03,20
40299,19714,986416,-91,100,run03,20
40349,19715,986466,-91,100,run03,20
40397,19716,986516,-89,100,run03,20
40448,19717,986566,-89,100,run03,20
40497,19718,986616,-88,100,run03,20
40547,19719,986666,-89,100,run03,20
40597,19720,986716,-93,100,run03,20
40656,19721,986766,-89,100,run03,20
40698,19722,986816,-88,100,run03,20
40748,19723,986866,-89,100,run03,20
40797,19724,986916,-89,100,run03,20
40847,19725,986966,-89,100,run03,20
40897,19726,987016,-85,100,run03,20
40986,19727,987066,-89,100,run03,20
40997,19728,987116,-89,100,run03,20
41053,19729,987166,-89,100,run03,20
41097,19730,987216,-89,100,run03,20
41150,19731,987266,-87,100,run03,20
41197,19732,987316,-88,100,run03,20
41252,19733,987366,-90,100,run03,20
41298,19734,987416,-91,100,run03,20
41349,19735,987466,-90,100,run03,20
41397,19736,987516,-91,100,run03,20
41447,19737,987566,-90,100,run03,20
41510,19738,987616,-90,100,run03,20
41548,19739,987666,-92,100,run03,20
41598,19740,987716,-87,100,run03,20
41647,19741,987766,-91,100,run03,20
41697,19742,987816,-90,100,run03,20
41747,19743,987866,-90,100,run03,20
41797,19744,987916,-90,100,run03,20
41850,19745,987966,-91,100,run03,20
41897,19746,988016,-88,100,run03,20
41947,19747,988066,-89,100,run03,20
41998,19748,988116,-90,100,run03,20
42049,19749,988166,-89,100,run03,20
42097,19750,988216,-90,100,run03,20
42147,19751,988266,-89,100,run03,20
42199,19752,988316,-91,100,run03,20
42252,19753,988366,-90,100,run03,20
42308,19754,988416,-91,100,run03,20
42347,19755,988466,-90,100,run03,20
42397,19756,988516,-89,100,run03,20
42449,19757,988566,-89,100,run03,20
42497,19758,988616,-90,100,run03,20
42547,19759,988666,-90,100,run03,20
42603,19760,988716,-90,100,run03,20
42650,19761,988766,-88,100,run03,20
42697,19762,988816,-90,100,run03,20
42747,19763,988866,-89,100,run03,20
42810,19764,988916,-85,100,run03,20
42847,19765,988966,-91,100,run03,20
42897,19766,989016,-89,100,run03,20
42947,19767,989066,-91,100,run03,20
43005,19768,989116,-90,100,run03,20
43047,19769,989166,-94,100,run03,20
43098,19770,989216,-92,100,run03,20
43147,19771,989266,-90,100,run03,20
43206,19772,989316,-91,100,run03,20
43247,19773,989366,-90,100,run03,20
43299,19774,989416,-91,100,run03,20
43347,19775,989466,-89,100,run03,20
43398,19776,989516,-91,100,run03,20
43447,19777,989566,-90,100,run03,20
43500,19778,989616,-90,100,run03,20
43549,19779,989666,-90,100,run03,20
43597,19780,989716,-90,100,run03,20
43647,19781,989766,-88,100,run03,20
43699,19782,989816,-88,100,run03,20
43750,19783,989866,-87,100,run03,20
43809,19784,989916,-90,100,run03,20
43847,19785,989966,-90,100,run03,20
43897,19786,990016,-89,100,run03,20
43947,19787,990066,-88,100,run03,20
44000,19788,990116,-89,100,run03,20
44048,19789,990166,-90,100,run03,20
44097,19790,990216,-91,100,run03,20
44150,19791,990266,-89,100,run03,20
44200,19792,990316,-91,100,run03,20
44247,19793,990366,-91,100,run03,20
44302,19794,990416,-89,100,run03,20
44347,19795,990466,-89,100,run03,20
44399,19796,990516,-89,100,run03,20
44458,19797,990566,-89,100,run03,20
44505,19798,990616,-90,100,run03,20
44559,19799,990666,-88,100,run03,20
44597,19800,990716,-91,100,run03,20
44650,19801,990766,-89,100,run03,20
44705,19802,990816,-89,100,run03,20
44749,19803,990866,-86,100,run03,20
44797,19804,990916,-89,100,run03,20
44851,19805,990966,-91,100,run03,20
44897,19806,991016,-92,100,run03,20
44966,19807,991066,-91,100,run03,20
44997,19808,991116,-91,100,run03,20
45048,19809,991166,-89,100,run03,20
45098,19810,991216,-89,100,run03,20
45149,19811,991266,-88,100,run03,20
45197,19812,991316,-89,100,run03,20
45248,19813,991366,-88,100,run03,20
45297,19814,991416,-91,100,run03,20
45347,19815,991466,-90,100,run03,20
45397,19816,991516,-89,100,run03,20
45450,19817,991566,-90,100,run03,20
45498,19818,991616,-89,100,run03,20
45548,19819,991666,-91,100,run03,20
45597,19820,991716,-91,100,run03,20
45647,19821,991766,-90,100,run03,20
45701,19822,991816,-88,100,run03,20
45747,19823,991866,-89,100,run03,20
45806,19824,991916,-88,100,run03,20
45849,19825,991966,-90,100,run03,20
45897,19826,992016,-90,100,run03,20
45947,19827,992066,-90,100,run03,20
45997,19828,992116,-91,100,run03,20
