round,train_rmse,train_mae,test_rmse,test_mae
233,4.812501634047451,2.955029380636783,12.652731174374564,7.981368052338688
234,4.810243540112076,2.953248830823692,12.645186103275334,7.972220972238892
235,4.805455081150265,2.9514410703096687,12.660759658828395,7.981561387885907
236,4.798484955446168,2.948114361005667,12.670174782212875,7.988257429661112
237,4.795665404653003,2.945750563544751,12.670648935741264,7.988974896603445
238,4.789396699275679,2.942099498282496,12.65516155299319,7.983268162765848
239,4.786369594080539,2.940179368485489,12.6547636657489,7.986175038386454
240,4.782968102174473,2.938174616286458,12.649931659857184,7.982168812935796
241,4.7787481450471825,2.9360647485334987,12.722115472069833,8.029104664723123
242,4.774011494860153,2.933629462765332,12.73443473096529,8.038409410118344
243,4.769127752904249,2.930711498473029,12.739217861379828,8.041169465058598
244,4.763404344524276,2.927433893056592,12.736239862357339,8.041873765688853
245,4.759771228814055,2.9252535440334793,12.734742878896979,8.037298678590972
246,4.754690296379237,2.9221639903556653,12.705276595061342,8.01296495961832
247,4.751473543601586,2.9204652418870505,12.70574488898623,8.013714818130603
248,4.7489393688274895,2.9179030390875487,12.704251851910472,8.01066610422507
249,4.741503451264277,2.9142269680776423,12.714627095497267,8.016364022798053
250,4.737902347249538,2.911339199774886,12.713827011308403,8.014383204288963
251,4.732991744073916,2.908755299327176,12.736338856043135,8.031336580600355
252,4.727738588336402,2.906076412302528,12.758727237506129,8.043598560218463
253,4.721362432029302,2.9034913913893434,12.7444839146377,8.037080089179792
254,4.715072125608244,2.9003215686015933,12.745845660396293,8.036380540057836
255,4.711647815222682,2.8984535769117272,12.761514863322676,8.043437078456481
256,4.707742958422583,2.895690771637703,12.766126269919718,8.046471113470114
257,4.704043754347708,2.89329280424109,12.769164595781392,8.049174965561566
258,4.698346286024144,2.89082987410955,12.791086767798815,8.062149397448682
259,4.691874588835206,2.8878607953938267,12.78736282828894,8.061159446129393
260,4.688169631556291,2.8858780071235595,12.790160518242146,8.06261799141098
261,4.683249157219028,2.882850395099081,12.789153636731173,8.061786528856143
262,4.680147502430439,2.8816919807704053,12.800990573200863,8.078858795855703
263,4.67481182570283,2.8809122457465492,12.81284401062297,8.092554225347163
264,4.672398501563139,2.8798193113472883,12.814417802304535,8.094599676397388
265,4.6690009626236675,2.8774526455467377,12.8005419167839,8.082471100181689
266,4.665057730594759,2.8747600340433332,12.801189775039909,8.083782812858622
267,4.658509714623962,2.8728822015134226,12.803969169457442,8.079469617947305
268,4.654138344514308,2.870837153181145,12.809543377934629,8.084351377403923
269,4.647781763759337,2.868572166961408,12.809301942242866,8.081990703320146
270,4.642001911339099,2.8661607458213543,12.832130360810766,8.096424316354426
271,4.639267550706965,2.8645578234318783,12.832833541591087,8.097729743801215
272,4.63637105833945,2.8629549636262106,12.843266096251497,8.104418844193898
273,4.631323417244668,2.8591849983746154,12.839000394483241,8.087906628018855
274,4.624777081238979,2.857326137438929,12.833568381850315,8.079812663902473
275,4.619265510183337,2.854019727407628,12.83703478662356,8.082102536819265
276,4.612898399731801,2.851233125165253,12.846359234976637,8.087373985270231
277,4.608970242404904,2.8494040547492574,12.846142360900547,8.087420572811748
278,4.6060018115892465,2.8475253431467977,12.859860162732048,8.094601186907143
279,4.603232408264864,2.844895636796468,12.86420213510545,8.097911277863508
280,4.6008317905931,2.842696920287787,12.862934387067197,8.096035428326278
281,4.595323201891678,2.8398975888129625,12.868126173835352,8.101997801199392
282,4.591580618963545,2.837839581953197,12.87107114524955,8.10183414600152
283,4.585146795390465,2.8342581977747385,12.869081890983331,8.098275876608792
284,4.584123318750631,2.8333658141463527,12.873285664092734,8.1671057988233
285,4.579908574820766,2.831225300961809,12.870660805361991,8.167940931047358
286,4.577876826011305,2.8300509858499754,12.862981874054926,8.163539192368292
287,4.5743251583432345,2.828266901088879,12.864401188684635,8.165843897216694
288,4.569876324808579,2.8259024017450813,12.886706038635527,8.175589649200115
289,4.565994913654694,2.822818421211344,12.88448966667002,8.174310723289114
290,4.560068414576407,2.8207346051856512,12.903029514251102,8.1836367926199
291,4.556371855484595,2.8189041849035896,12.915490476029383,8.193063283311153
292,4.551886437638063,2.815601691879006,12.97486648077579,8.218068444157336
293,4.549744238364811,2.813063848476579,12.989128612352731,8.219103160903336
294,4.546677497642088,2.810163665142672,12.998664583611133,8.24662543001745
295,4.545046890161316,2.8084495684287307,13.005713167733832,8.250913222232906
296,4.5392002711431765,2.805925682856492,13.036711201662827,8.269078921073891
297,4.5350670489823015,2.8042767668658546,13.038847195087039,8.272045496521045
298,4.528467213354595,2.8017399887089987,13.101984215613882,8.313593802450077
299,4.523650428978845,2.7995112212380233,13.116298729908635,8.321236413053002
